Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
1932/3/31,-7.07,-11.29,-4.51,-22.36,-11.73,-16.73,-2.38,-6.41,-11.6,-3.99,-14.11,-16.69,-12.56,-17.17,-22.13,-21.41,-6.14,-16.43,-0.65,-9.57,-9.9,-1.44,-6.94,-8.32,-17.55,-43.85,-8.91,-7.22,-15.18,-14.35
1932/4/30,-13,-9.77,-9.89,-23.96,-14.15,-8.65,-5.02,-19.77,-33.3,-11.65,-15.72,-19.58,-20.27,-22.97,-28.58,-15.3,-14.44,-17.53,-13.85,-15.5,-12.39,-4.95,-27.07,-29.29,-24.94,-4.67,-15.61,-19.76,-19.22,-17.19
1932/5/31,-22.92,-25.3,-21.45,-44.22,-26.24,-20.99,-3.81,-34.08,-10.18,-23.01,-17.66,-22.96,-21.14,-33.74,-18.45,-25,-10.87,-21.98,-5.17,-26.82,-10.81,-2.19,-15.49,-15.55,-33.68,-36.62,-29.35,-26.11,-30.34,-14.7
1932/6/30,-0.28,19.26,5.85,11.22,-22.24,-15.69,-5.04,11.05,-5.02,-4.85,2.75,2.09,-5.6,10.15,-7.46,9.68,-10.19,-5.2,6.17,1.45,-9.55,-20.14,0.62,-3.61,-3,6.56,-0.7,0.05,6.28,-1.86
1932/7/31,30.59,19.44,24.67,66.15,45.6,34.58,-21.01,29.18,28.98,30.46,34.64,62.13,43.66,55.49,44.57,45.07,46.1,56.22,34.75,29.35,16.7,24.56,19.35,21.49,61.3,16.27,27.33,25.39,51.98,30.54
1932/8/31,24.15,40.15,17.6,66.68,40.45,26.43,27.22,35.87,36.4,58.51,37.59,59.1,52.08,50.01,48.4,44.82,29.57,125.43,17.27,43.46,28.17,-0.78,33.11,42.69,65.36,57.64,33.02,24.5,59.1,37.89
1932/9/30,-1.31,-3.05,0.11,-10.3,0.99,0.24,1.21,-11.92,5.76,-11.03,2.34,-10.02,-4.22,-6.02,5.75,10.26,-5.66,-5.89,-10.34,-4.65,0.24,-1.8,-4.22,-3.08,-2.54,24.79,2.99,1.32,-6.85,-9.87
1932/10/31,-9.43,-12.67,-13.98,-25.97,-22.53,-10.99,-8.72,-18.56,-16.16,-12.99,-15.68,-15.78,-22.38,-21.31,-24.62,-21.27,-7.14,-21.24,-3.04,-10.82,-8.13,-2.79,-11.78,-3.93,-19.63,-20.22,-12.53,-14.21,-17.08,-8.23
1932/11/30,-6.61,-5.26,-8.34,-10.19,-3.9,-5.32,-4.22,5.53,-1.7,-9.63,-6.07,-22.55,-6.58,-9.38,-2.72,-6.91,2.35,-19.43,-4.02,-3.6,-1.12,0.24,-5,-2.85,-9.57,-10.38,-5.55,-6.59,-3.39,-9.89
1932/12/31,7.18,6.51,0.91,-12.58,-11.62,1.58,-1.63,6.82,13.02,-6.86,1.04,-8.31,2.79,7.54,5.26,6.14,-1.58,-7.23,0.27,9.12,3.67,-1.46,7.49,9.26,5.82,-10.07,5.25,3.67,8.91,-3.64
1933/1/31,0.68,-15.51,11.41,-24.21,0.68,-7.33,10.58,-1.13,4.17,-2.3,-1.08,2.64,6.69,0.36,0.75,10.51,-0.17,9.49,-3.35,-4.38,0.31,9.12,4.28,10.51,14.34,-6.31,-2.71,9.03,1.51,-1.4
1933/2/28,-9.66,-11.59,-8.55,-19.45,-20.79,-21.19,-4.5,-10.82,-16.46,-7.16,-16.73,-17.03,-23.33,-22.44,-24.89,-17.73,-8.15,-23.41,-13.61,-19.85,-7.77,-10.68,-14.11,-12.76,-16.35,-7.8,-18.01,-18.24,-20.16,-6.27
1933/3/31,12.16,25.52,7.93,-10.14,15.8,11.59,8.86,-3.16,5.14,2.6,12.63,14.72,23.94,7.25,9.69,13.15,8.75,9.68,4.24,-12.79,-5.85,0.88,3.86,6.81,6.98,0.07,8.9,0.81,-6.84,1.12
1933/4/30,33.31,29.02,33.04,62.14,52,58.33,41.4,37.13,46.6,52.97,39.74,80.84,48.67,59.58,81.88,48.05,26.39,35.74,39.08,25.36,13.22,1.41,38.95,43.13,27.89,46.18,43.51,9.89,42.9,45.29
1933/5/31,11.2,87.61,9.18,53.97,24.57,17.95,26.02,23.49,28.78,39.45,43.8,23.29,30.46,18.94,25.28,25.52,32.7,31.69,17.32,19.29,17.37,11.46,22.25,14.57,32.58,57.49,16.43,24.91,26.14,45.73
1933/6/30,13.2,35.17,4.72,18.86,27.44,6.35,2.43,10.39,11.71,20.44,21.26,11.3,14.53,10.11,19.69,19.7,12.6,25.02,12.1,15.58,10.5,4.12,12.72,5.24,13.8,49.9,16.04,11.6,18.44,16.17
1933/7/31,-8.16,-14.97,-2.1,-7.38,-22.53,-9.13,-4.33,-19.11,-9.16,-15.68,-14.93,-10.17,-20.07,-11.36,-6.8,-16.31,-8.78,-24.33,-11.61,-13.58,-4.36,-1.08,-10.31,-5.52,-4.46,-12.87,-13.4,-16.16,-12.38,-2.87
1933/8/31,8.94,33.2,10.17,29.31,22.17,11.27,5.83,-0.38,21.04,10.91,14.59,11.55,19.73,13.47,19.89,23.93,17.14,16.81,19.14,-1.23,4.53,-1.8,11.38,10.69,15.61,12.52,7.05,8.03,9.2,22.19
1933/9/30,-8.73,-5.8,-3.7,-7.98,-26.63,-12.17,-11.98,-1.31,-7.72,-10.2,-14.59,-8.94,-15.71,-19.3,-15.13,-14.49,5.58,-20.25,-2.17,-19.74,-3.56,-3.08,-11.37,-4.18,-20.11,-21.77,-8.45,-11.98,-16.87,-11.44
1933/10/31,-8.17,-3.37,-11.6,-12.74,-6.29,-6.41,-3.68,-6.02,-4.66,-9.85,-6.65,-12.59,-5.37,-10.89,-10.26,-13.52,-4.59,-17.87,-4.53,-7.5,-7.18,69.37,-6.89,-2.65,-12.65,-7.17,-7.62,-16.76,-13.1,-7.69
1933/11/30,5.99,-7.19,4.45,4.76,-0.26,7.53,9.65,9.4,15.6,2.98,10.48,10.96,13.37,12.05,25.63,12.48,0.05,8.04,14.83,-2.39,5.63,-0.13,14.66,10.66,6.37,7.39,14.74,6.33,6.55,8.71
1933/12/31,-3.24,-1.49,-4.87,-4.14,2.86,-4.33,-1.86,-11.73,6.75,6.19,3.57,5.05,2.24,0.52,9.6,8.07,-1.18,-3.47,-1.15,1.05,-3.75,-0.9,3.69,3.18,6.88,-8.14,4.86,-0.57,3.5,7.74
1934/1/31,10.24,15.35,6.46,16.59,26.69,10.44,16.31,16.77,4.65,23.19,16.58,12.89,18.63,17.33,13.07,24.69,2.28,26.04,8.38,20.52,5.97,4.68,13.29,4.25,20.8,26.5,16.89,30.65,23.89,13.22
1934/2/28,-6.51,-12.45,-3.1,9.56,1.03,0.41,-3.45,-3.59,-2.71,1.35,-6.6,-1.98,-4.09,-8.19,-2.5,-9.11,2.87,-0.03,-3.45,-1.69,2.12,-0.45,-1.98,2.18,-3.15,5.37,2.95,5.57,-1.79,5.52
1934/3/31,2.33,2.84,-0.58,4.62,5.77,-6.1,-1.93,-0.64,-0.94,0.78,-1.49,-1.18,-0.34,6.47,-0.35,0.56,4.66,-6.62,-1.21,-1.8,1.27,1.99,-3.91,-1.41,0.04,2.32,2.29,7.23,0.66,-1.61
